Date,All industries,Accounting / Finance,Admin / clerical / secretarial,Catering and hospitality,Charity / voluntary,Construction / trades,Creative / design / arts & media,Customer service / support,Domestic help,Education,Energy / oil & gas,Engineering,Facilities / maintenance,Graduate,HR & recruitment,IT / Computing / Software,Legal,Management / exec / consulting,Manufacturing,Marketing / advertising / PR,Other / general,Part-time / weekend,Property,Wholesale and retail,Sales,Scientific / QA,Transport / logistics / warehouse,Travel / tourism,Healthcare and Social care
2018-03-22,12100.0,11310.0,11640.0,6640.000000000001,30760.000000000004,12220.0,12800.0,12170.0,3970.0000000000005,11350.0,13019.999999999998,9000.0,2100.0,7450.0,12900.0,7800.0,12790.0,15660.0,22890.0,13290.0,719410.0,11580.0,19170.0,10830.0,6830.0,14090.0,10500.0,7830.0,9870.0
2018-04-05,11730.0,11020.0,11160.0,6770.0,30370.0,11870.0,12460.0,11270.0,4450.0,11120.0,16980.0,8750.0,2020.0,7270.0,12840.0,7750.0,13090.0,15469.999999999998,22220.0,10320.0,734730.0,11390.0,18410.0,10310.0,6609.999999999999,13450.0,10460.0,7290.000000000001,9280.0
2018-09-13,12000.0,10800.0,13269.999999999998,12500.0,32780.0,14640.0,12670.0,13369.999999999998,16300.0,8850.0,13200.0,10150.0,2890.0,6930.0,12110.0,7430.0,11780.0,14469.999999999998,22920.0,9800.0,701950.0,1770.0,18400.0,14730.000000000002,5890.0,13540.0,15950.0,7790.000000000001,7840.000000000001
2018-09-27,12290.0,10950.0,13560.0,12520.0,35740.0,14300.0,12680.0,13800.0,16840.0,9950.0,11230.0,9390.0,2670.0,7020.0,12370.0,7509.999999999999,11960.0,14450.0,24530.0,9770.0,749530.0,1800.0,19260.0,15769.999999999998,6040.0,13669.999999999998,16190.0,8059.999999999999,8159.999999999999
2018-12-14,11310.0,10890.0,12680.0,9370.0,27080.0,12370.0,10910.0,11540.0,11820.0,10540.0,7370.0,9260.0,2480.0,6940.000000000001,10490.0,7690.000000000001,12810.0,14690.0,19180.0,9730.0,638220.0,1830.0,18410.0,13369.999999999998,6020.0,12830.000000000002,12740.0,8240.0,7300.0
2018-12-27,9930.0,9640.0,10990.0,8230.0,23990.0,10220.0,9490.0,9940.0,10950.0,9470.0,8380.0,8080.0,2370.0,5090.0,9590.0,6840.000000000001,12150.0,13330.000000000002,16269.999999999998,8720.0,581720.0,1560.0,16150.0,11720.0,5320.0,11370.0,9730.0,7459.999999999999,6440.000000000001
2019-02-22,11790.0,11400.0,15090.0,9100.0,36110.0,13110.0,13169.999999999998,11760.0,11890.0,10750.0,8170.0,9110.0,2350.0,3410.0,12919.999999999998,8350.0,11890.0,16750.0,20830.0,10640.0,665820.0,2290.0,20400.0,12440.0,8020.0,13310.0,10090.0,9410.0,8130.0
2019-03-21,12130.0,10730.0,14190.0,9010.0,30350.0,12960.0,12210.0,11040.0,11030.0,10280.0,9090.0,8120.0,2180.0,3340.0,12190.0,8009.999999999999,10460.0,14990.0,20660.0,10170.0,665920.0,2840.0,18750.0,12390.0,7390.000000000001,13780.000000000002,10280.0,9520.0,8370.0
2019-11-07,10880.0,9620.0,10840.0,11920.0,9300.0,10640.0,10730.0,11410.0,13000.0,9600.0,9100.0,10600.0,10450.0,12560.0,10000.0,9720.0,10330.0,10070.0,13350.0,9170.0,21710.0,14100.0,9230.0,13290.0,10020.0,9660.0,16860.0,12919.999999999998,11380.0
2019-11-14,10660.0,9610.0,10550.0,11640.0,8880.0,10360.0,10530.0,11080.0,12440.0,9610.0,9330.0,10520.0,10020.0,12250.0,9860.0,9660.0,10310.0,9950.0,12830.000000000002,9030.0,18470.0,13169.999999999998,9240.0,12680.0,9950.0,9820.0,16310.0,12300.0,10980.0
2019-11-21,10440.0,9600.0,10270.0,11350.0,8470.0,10080.0,10320.0,10740.0,11870.0,9610.0,9560.0,10440.0,9600.0,11940.0,9720.0,9600.0,10290.0,9820.0,12300.0,8890.0,15219.999999999998,12230.0,9260.0,12080.0,9890.0,9990.0,15769.999999999998,11690.0,10580.0
2019-12-12,9760.0,9560.0,9460.0,9860.0,7240.000000000001,9230.0,9670.0,9590.0,10830.0,9820.0,9770.0,10010.0,8950.0,11120.0,9360.0,9270.0,9940.0,9710.0,11100.0,8560.0,12080.0,10530.0,8950.0,10100.0,9230.0,9890.0,14210.0,10980.0,9480.0
2019-12-19,9070.0,8920.0,8800.0,9100.0,6930.0,8510.0,9260.0,8900.0,10280.0,9210.0,9950.0,9410.0,8770.0,9950.0,8820.0,8620.0,9260.0,9320.0,9930.0,8070.0,12170.0,9680.0,8150.0,9210.0,8520.0,9500.0,12840.0,10500.0,8750.0
2020-01-10,9130.0,9010.0,8950.0,9020.0,8470.0,8720.0,9240.0,9260.0,9450.0,8320.0,10520.0,9700.0,9180.0,9790.0,9180.0,8960.0,9740.0,9710.0,10470.0,8410.0,11360.0,8970.0,8430.0,9290.0,8900.0,8810.0,11900.0,10750.0,8820.0
