Date,All in employment2,Public sector3,Private sector,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommod-ation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services
Jan-Mar 2000,27238589.0,6213060,20906650,322586.4378766615,386422.4965996811,4098528.115609944,2013246.917723227,4106346.694387314,1472489.5680748255,1201637.1432043482,969816.2992717907,1198484.984126156,191748.23462587953,1642054.533207103,1233826.8856840893,1610160.2858269876,2373448.71955163,2948574.8213275997,1376251.8629027628
Apr-Jun 2000,27399081.0,6254441,21024433,335096.7724121308,404792.0091356271,4065732.687717987,2051315.235673478,4082017.0536754886,1474894.7001763799,1226862.5732707544,994833.3009830704,1193646.6982081837,190424.90725656293,1650649.0645257474,1236552.2974013088,1644849.2162219437,2349189.0405455893,2994336.459300993,1406262.9834947556
Jul-Sep 2000,27684753.0,6253815,21301042,336747.189021926,401770.85455993447,4062341.9776840406,2074905.2019676534,4091211.9572280687,1533157.397997889,1277855.3935582077,1031614.9393218546,1239905.5214436196,195891.05053098898,1663715.3046376589,1287974.8911585035,1684839.9834635425,2288803.1579231443,3029762.6842833133,1400508.4952196586
Oct-Dec 2000,27610751.0,6366400,21121888,326104.97830112587,399943.56733388396,4001272.2643616134,2061505.3230755224,4087316.771614453,1545274.8488440942,1239649.6004335533,1055549.5538078758,1249977.7853987634,208182.19000304365,1621903.170038343,1259987.3345041675,1720813.4681253573,2371022.0825020666,2999702.6195757063,1373568.4420804302
Jan-Mar 2001,27504980.0,6385990,20992571,304342.4627520946,417090.0362352478,3948901.440732406,2046432.5256815501,4070768.063769034,1508600.7997179865,1208155.2207755293,1071391.0682964288,1227509.6648114852,210724.83508549185,1652399.708216391,1264689.2785190984,1739674.4508246146,2372296.0424355697,3022592.8935326124,1338066.508614457
Apr-Jun 2001,27642630.0,6394100,21141373,297598.77538152697,402008.7981483357,3918914.746805772,2095600.4890077463,4034566.6003974704,1530614.215700246,1250575.9769737078,1076429.058144464,1216546.6155701464,210159.36666098834,1649131.2521605878,1289925.762588962,1782204.7935866804,2355092.587039032,3109060.8689064593,1327885.092927879
Jul-Sep 2001,27837731.0,6280064,21439849,311675.18036440684,412133.44080524927,3924314.0016894545,2142276.5767755047,4075201.150824093,1538226.402742942,1290724.1624583015,1088802.4622007064,1249575.5190820105,212330.79001795332,1642682.5365421833,1346877.3893610607,1781548.2726274042,2275826.9035228994,3087966.221849839,1381058.2938528638
Oct-Dec 2001,27860233.0,6349888,21391872,288418.5961784329,407895.80166921567,3913989.502143069,2150043.080869383,4084452.506845496,1546809.8067513462,1281694.4919938033,1068321.7444636703,1247404.6088013407,214456.44655757662,1681151.7275422458,1325256.7785755494,1802166.4556893273,2345181.8522972283,3083278.1297857864,1337382.8936764575
Jan-Mar 2002,27688453.0,6383433,21187851,283684.8639721155,399569.7095504515,3825530.1455539474,2111521.5450676344,4034145.8688248135,1546856.4624425406,1287763.557396757,1011182.248899816,1243017.5082984616,225994.5179175063,1712176.856808619,1313794.3517065737,1803553.8805521184,2414790.4504492558,3076653.113102159,1317318.7414197477
Apr-Jun 2002,27872759.0,6459770,21308563,279256.37364524,418689.00630775676,3784092.354289235,2101521.266748649,4067149.068322321,1556147.3948813598,1355089.2849402314,990154.5108707866,1266895.7720106905,217223.17078504176,1698763.3883511187,1325028.0329560954,1809946.1925106365,2466972.637228411,3103710.335848246,1357779.0646532453
Jul-Sep 2002,28050503.0,6470351,21469704,274457.1963168282,418847.7046197467,3823904.087607734,2160495.5655066874,4134445.126057902,1558671.1185491383,1342290.099174048,1011962.842934429,1269904.3971904665,216772.384832915,1699720.1423652628,1306701.5704391196,1827247.2001267641,2406303.507824943,3130855.1048016697,1404672.0805927573
